"Classe";"Grupo";"Sub_grupo";"Titulo";"Sub Título";"Ítem";"Sub Ítem";"Conta";"Título";"Função";"Natureza de Saldo";"PCASP Federação";"Status";"Nível de detalhamento";"Indicador de Superavit Financeiro";"PCASP RPPS";"Utilizada pela União";"Utilizada por Estados e DF";"Utilizada por Municípios";"Operação";"Campos alterados"
"1";"0";"0";"0";"0";"00";"00";"1.0.0.0.0.00.00";"ATIVO";"Compreende os recursos controlados por uma entidade como consequência de eventos passados e dos quais se espera que fluam benefícios econômicos ou potencial de serviços futuros a unidade.";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"0";"0";"0";"00";"00";"1.1.0.0.0.00.00";"ATIVO CIRCULANTE";"Compreende os ativos que atendam a qualquer um dos seguintes critérios: sejam caixa ou equivalente de caixa; sejam realizáveis ou mantidos para venda ou consumo dentro do ciclo operacional da entidade; sejam mantidos primariamente para negociação; sejam realizáveis no curto prazo.";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"1";"0";"0";"00";"00";"1.1.1.0.0.00.00";"CAIXA E EQUIVALENTES DE CAIXA";"Compreende o somatório dos valores em caixa e em bancos, bem como equivalentes, que representam recursos com livre movimentação para aplicação nas operações da entidade e para os quais não haja restrições para uso imediato.";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"1";"1";"0";"00";"00";"1.1.1.1.0.00.00";"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL";"Compreende o somatório dos valores em caixa e em bancos, bem como equivalentes, que representam recursos com livre movimentação para aplicação nas operações da entidade e para os quais não haja restrições para uso imediato.";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"1";"1";"1";"00";"00";"1.1.1.1.1.00.00";"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL - CONSOLIDAÇÃO";"Compreende o somatório dos valores de caixa e equivalentes de caixa em moeda nacional. Compreende os saldos que não serão excluídos nos demonstrativos consolidados do orçamento fiscal e da seguridade social (OFSS).";"Devedora";"Sim";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"1";"1";"1";"01";"00";"1.1.1.1.1.01.00";"CAIXA";"Compreende/Registra o somatório de numerários em espécie e outros valores em tesouraria.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"1";"1";"02";"00";"1.1.1.1.1.02.00";"CONTA ÚNICA";"Compreende/Registra os valores da Conta Única, exceto RPPS.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"1";"1";"06";"00";"1.1.1.1.1.06.00";"CONTA ÚNICA RPPS";"Compreende os valores disponíveis na Conta Única do RPPS.";"Devedora";"Não";"Ativa";"Superior";;"Sim";;;;"Original";
"1";"1";"1";"1";"1";"06";"02";"1.1.1.1.1.06.02";"BANCOS CONTA MOVIMENTO - FUNDO EM REPARTIÇÃO";"Registra a movimentação financeira dos recursos nas contas movimento do Fundo em Repartição do RPPS através dos agentes financeiros credenciados.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Sim";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"1";"1";"06";"03";"1.1.1.1.1.06.03";"BANCOS CONTA MOVIMENTO - FUNDO EM CAPITALIZAÇÃO";"Registra a movimentação financeira dos recursos nas contas movimento do Fundo em Capitalização do RPPS através dos agentes financeiros credenciados.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Sim";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"1";"1";"06";"04";"1.1.1.1.1.06.04";"BANCOS CONTA MOVIMENTO - TAXA DE ADMINISTRAÇÃO";"Registra a movimentação financeira dos recursos nas contas movimento da taxa de administração do RPPS através dos agentes financeiros credenciados.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Sim";"Sim";"Sim";"Sim";"Original";
"1";"1";"1";"1";"1";"19";"00";"1.1.1.1.1.19.00";"BANCOS CONTA MOVIMENTO - DEMAIS CONTAS";"Compreende/Registra o somatório das disponibilidades existentes em
outras contas bancárias, que não sejam a Conta Única, agregadas pelos subitens identificativos dos bancos correspondentes.";"Devedora";"Não";"Ativa";"Último";"Financeiro";"Não";"Sim";"Sim";"Sim";"Original";
