Codigo;Nome;Tipo
10000000000000;Receitas Correntes;    N
11000000000000;Impostos, Taxas e Contribuições de Melhoria;    S
11100000000000;Impostos;    S
11120000000000;Impostos sobre o Patrimônio;    S
11125000000000;Imposto sobre a Propriedade Predial e Territorial Urbana;    S
11125001000000;Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;    S
11125002000000;Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros de Mora;    S
11125003000000;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa;    S
11125004000000;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11125005000000;Imposto sobre a Propriedade Predial e Territorial Urbana - Multas;    N
11125006000000;Imposto sobre a Propriedade Predial e Territorial Urbana - Juros de Mora;    N
11125007000000;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas da Dívida Ativa;    S
11125008000000;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Juros de Mora da Dívida Ativa;    S
11125300000000;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis";    S
11125301000000;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal";    S
11125302000000;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros de Mora";    S
11125303000000;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa";    S
11125304000000;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";    S
11125305000000;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas";    S
11125306000000;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Juros de Mora";    N
11125307000000;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa - Multas da Dívida Ativa";    N
11125308000000;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Juros de Mora da Dívida Ativa";    S
11130000000000;Impostos sobre a Renda e Proventos de Qualquer Natureza;    S
11130300000000;Imposto sobre a Renda - Retido na Fonte;    S
11130310000000;Imposto sobre a Renda - Retido na Fonte - Trabalho;    S
11130311000000;Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;    S
11130312000000;Imposto sobre a Renda - Retido na Fonte - Trabalho - Multas e Juros de Mora;    S
11130313000000;Imposto sobre a Renda - Retido na Fonte - Trabalho - Dívida Ativa;    S
11130314000000;Imposto sobre a Renda - Retido na Fonte - Trabalho - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11130315000000;Imposto sobre a Renda - Retido na Fonte - Trabalho - Multas;    N
11130316000000;Imposto sobre a Renda - Retido na Fonte - Trabalho - Juros de Mora;    N
11130317000000;Imposto sobre a Renda - Retido na Fonte - Trabalho - Dívida Ativa - Multas da Dívida Ativa;    N
11130318000000;Imposto sobre a Renda - Retido na Fonte - Trabalho - Juros de Mora da Dívida Ativa;    N
11130340000000;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos;    S
11130341000000;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal;    S
11130342000000;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Multas e Juros de Mora;    S
11130343000000;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Dívida Ativa;    S
11130344000000;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11130345000000;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Multas;    S
11130346000000;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Juros de Mora;    S
11130347000000;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Dívida Ativa - Multas da Dívida Ativa;    S
11130348000000;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Juros de Mora da Dívida Ativa;    N
11140000000000;Impostos sobre a Produção e Circulação de Mercadorias e Serviços;    N
11145100000000;Impostos sobre Serviços;    N
11145110000000;Imposto sobre Serviços de Qualquer Natureza - ISSQN;    N
11145111000000;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal;    S
11145112000000;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros de Mora;    S
11145113000000;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Dívida Ativa;    S
11145114000000;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11145115000000;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas;    S
11145116000000;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Juros de Mora;    S
11145117000000;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Dívida Ativa - Multas da Dívida Ativa;    S
11145118000000;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Juros de Mora da Dívida Ativa;    S
11145120000000;Adicional ISS - Fundo Municipal de Combate à Pobreza;    N
11145121000000;Adicional ISS - Fundo Municipal de Combate à Pobreza - Principal;    N
11145122000000;Adicional ISS - Fundo Municipal de Combate à Pobreza - Multas e Juros de Mora;    S
11145123000000;Adicional ISS - Fundo Municipal de Combate à Pobreza - Dívida Ativa;    S
11145124000000;Adicional ISS - Fundo Municipal de Combate à Pobreza - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11145125000000;Adicional ISS - Fundo Municipal de Combate à Pobreza - Multas;    S
11145126000000;Adicional ISS - Fundo Municipal de Combate à Pobreza - Juros de Mora;    S
11145127000000;Adicional ISS - Fundo Municipal de Combate à Pobreza - Dívida Ativa - Multas da Dívida Ativa;    S
11145128000000;Adicional ISS - Fundo Municipal de Combate à Pobreza - Juros de Mora da Dívida Ativa;    S
11145200000000;Imposto sobre Vendas a Varejo de Combustíveis Líquidos e Gasosos (IVVC);    S
11145201000000;Imposto sobre Vendas a Varejo de Combustíveis Líquidos e Gasosos (IVVC) - Principal;    N
11145202000000;Imposto sobre Vendas a Varejo de Combustíveis Líquidos e Gasosos (IVVC) - Multas e Juros de Mora;    S
11145203000000;Imposto sobre Vendas a Varejo de Combustíveis Líquidos e Gasosos (IVVC) - Dívida Ativa;    S
11145204000000;Imposto sobre Vendas a Varejo de Combustíveis Líquidos e Gasosos (IVVC) - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11145205000000;Imposto sobre Vendas a Varejo de Combustíveis Líquidos e Gasosos (IVVC) - Multas;    S
11145206000000;Imposto sobre Vendas a Varejo de Combustíveis Líquidos e Gasosos (IVVC) - Juros de Mora;    S
11145207000000;Imposto sobre Vendas a Varejo de Combustíveis Líquidos e Gasosos (IVVC) - Dívida Ativa - Multas da Dívida Ativa;    S
11145208000000;Imposto sobre Vendas a Varejo de Combustíveis Líquidos e Gasosos (IVVC) - Juros de Mora da Dívida Ativa;    S
11150000000000;Impostos sobre Operações de Crédito, Câmbio e Seguro, ou Relativas a Títulos ou Valores Mobiliários;    S
11200000000000;Taxas;    N
11210000000000;Taxas pelo Exercício do Poder de Polícia;    N
11210100000000;Taxas de Inspeção, Controle e Fiscalização;    N
11210101000000;Taxas de Inspeção, Controle e Fiscalização - Principal;    N
11210102000000;Taxas de Inspeção, Controle e Fiscalização - Multas e Juros de Mora;    S
11210103000000;Taxas de Inspeção, Controle e Fiscalização - Dívida Ativa;    S
11210104000000;Taxas de Inspeção, Controle e Fiscalização - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11210105000000;Taxas de Inspeção, Controle e Fiscalização - Multas;    S
11210106000000;Taxas de Inspeção, Controle e Fiscalização - Juros de Mora;    S
11210107000000;Taxas de Inspeção, Controle e Fiscalização - Dívida Ativa - Multas da Dívida Ativa;    S
11210108000000;Taxas de Inspeção, Controle e Fiscalização - Juros de Mora da Dívida Ativa;    S
11210400000000;Taxa de Controle e Fiscalização Ambiental;    S
11210401000000;Taxa de Controle e Fiscalização Ambiental - Principal;    N
11210402000000;Taxa de Controle e Fiscalização Ambiental - Multas e Juros de Mora;    S
11210403000000;Taxa de Controle e Fiscalização Ambiental - Dívida Ativa;    S
11210404000000;Taxa de Controle e Fiscalização Ambiental - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11210405000000;Taxa de Controle e Fiscalização Ambiental - Multas;    S
11210406000000;Taxa de Controle e Fiscalização Ambiental - Juros de Mora;    S
11210407000000;Taxa de Controle e Fiscalização Ambiental - Dívida Ativa - Multas da Dívida Ativa;    S
11210408000000;Taxa de Controle e Fiscalização Ambiental - Juros de Mora da Dívida Ativa;    S
11210500000000;Taxa de Controle e Fiscalização da Pesca e Aquicultura;    S
11210501000000;Taxa de Controle e Fiscalização da Pesca e Aquicultura - Principal;    N
11210502000000;Taxa de Controle e Fiscalização da Pesca e Aquicultura - Multas e Juros de Mora;    S
11210503000000;Taxa de Controle e Fiscalização da Pesca e Aquicultura - Dívida Ativa;    S
11210504000000;Taxa de Controle e Fiscalização da Pesca e Aquicultura - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11210505000000;Taxa de Controle e Fiscalização da Pesca e Aquicultura - Multas;    S
11210506000000;Taxa de Controle e Fiscalização da Pesca e Aquicultura - Juros de Mora;    S
11210507000000;Taxa de Controle e Fiscalização da Pesca e Aquicultura - Dívida Ativa - Multas da Dívida Ativa;    S
11210508000000;Taxa de Controle e Fiscalização da Pesca e Aquicultura - Juros de Mora da Dívida Ativa;    S
11215000000000;Taxa de Fiscalização de Vigilância Sanitária;    S
11215001000000;Taxa de Fiscalização de Vigilância Sanitária - Principal;    N
11215002000000;Taxa de Fiscalização de Vigilância Sanitária - Multas e Juros de Mora;    S
11215003000000;Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa;    S
11215004000000;Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11215005000000;Taxa de Fiscalização de Vigilância Sanitária - Multas;    S
11215006000000;Taxa de Fiscalização de Vigilância Sanitária - Juros de Mora;    S
11215007000000;Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa - Multas da Dívida Ativa;    S
11215008000000;Taxa de Fiscalização de Vigilância Sanitária - Juros de Mora da Dívida Ativa;    S
11215100000000;Taxa de Saúde Suplementar;    S
11215101000000;Taxa de Saúde Suplementar - Principal;    N
11215102000000;Taxa de Saúde Suplementar - Multas e Juros de Mora;    N
11215103000000;Taxa de Saúde Suplementar - Dívida Ativa;    S
11215104000000;Taxa de Saúde Suplementar - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11215105000000;Taxa de Saúde Suplementar - Multas;    S
11215106000000;Taxa de Saúde Suplementar - Juros de Mora;    S
11215107000000;Taxa de Saúde Suplementar - Dívida Ativa - Multas da Dívida Ativa;    S
11215108000000;Taxa de Saúde Suplementar - Juros de Mora da Dívida Ativa;    S
11220000000000;Taxas pela Prestação de Serviços;    S
11220100000000;Taxas pela Prestação de Serviços em Geral;    S
11220101000000;Taxas pela Prestação de Serviços em Geral - Principal;    N
11220102000000;Taxas pela Prestação de Serviços em Geral - Multas e Juros de Mora;    N
11220103000000;Taxas pela Prestação de Serviços em Geral - Dívida Ativa;    N
11220104000000;Taxas pela Prestação de Serviços em Geral - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    N
11220105000000;Taxas pela Prestação de Serviços em Geral - Multas;    S
11220106000000;Taxas pela Prestação de Serviços em Geral - Juros de Mora;    S
11220107000000;Taxas pela Prestação de Serviços em Geral - Dívida Ativa - Multas da Dívida Ativa;    S
11220108000000;Taxas pela Prestação de Serviços em Geral - Juros de Mora da Dívida Ativa;    S
11225000000000;Taxas Judiciais;    S
11225100000000;Taxas Extrajudiciais;    S
11225200000000;Taxa de Estudo de Impacto de Vizinhança (EIV);    S
11225201000000;Taxa de Estudo de Impacto de Vizinhança (EIV) - Principal;    S
11225202000000;Taxa de Estudo de Impacto de Vizinhança (EIV) - Multas e Juros de Mora;    N
11225203000000;Taxa de Estudo de Impacto de Vizinhança (EIV) - Dívida Ativa;    S
11225204000000;Taxa de Estudo de Impacto de Vizinhança (EIV) - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa;    S
11225205000000;Taxa de Estudo de Impacto de Vizinhança (EIV) - Multas;    S
11225206000000;Taxa de Estudo de Impacto de Vizinhança (EIV) - Juros de Mora;    S
11225207000000;Taxa de Estudo de Impacto de Vizinhança (EIV) - Dívida Ativa - Multas da Dívida Ativa;    S
11225208000000;Taxa de Estudo de Impacto de Vizinhança (EIV) - Juros de Mora da Dívida Ativa;    S
11225300000000;Taxa pela Prestação de Serviços de Limpeza Pública e Manejo de Resíduos Sólidos;    S
11225301000000;Taxa pela Prestação de Serviços de Limpeza Pública e Manejo de Resíduos Sólidos - Principal;    S
11225302000000;Taxa pela Prestação de Serviços de Limpeza Pública e Manejo de Resíduos Sólidos - Multas e Juros de Mora;    N
11225303000000;Taxa pela Prestação de Serviços de Limpeza Pública e Manejo de Resíduos Sólidos - Dívida Ativa;    S
