codigo;nome;tipo;descricao
1000000000000000;"Receitas Correntes.";S;"Agrega as receitas tributária, de contribuições, patrimonial, agropecuária, industrial, de serviços e outras e, ainda, as provenientes de recursos financeiros recebidos de outras pessoas de direito público ou privado, quando destinadas a atender despesas classificáveis em despesas correntes."
1100000000000000;"Impostos, Taxas e Contribuições de Melhoria";S;"Agrega as receitas originadas de impostos, taxas e contribuições de melhoria."
1110000000000000;Impostos;S;"Agrega as receitas que se originaram de impostos. Impostos constituem modalidade de tributo cuja cobrança tem por fato gerador situação independente de qualquer atividade estatal específica, relativa ao contribuinte. Regra geral, é vedada a vinculação da receita de impostos a qualquer tipo de despesa, ressalvada, entre outras hipóteses, aquelas previstas na Constituição Federal."
1111000000000000;"Impostos sobre o Comércio Exterior";S;"Agrega as receitas que se originaram de impostos cobrados sobre a Exportação e sobre a Importação."
1111010000000000;"Imposto sobre a Importação";S;"Registra as receitas que se originaram dos impostos sobre a Importação. De competência da União, o imposto de Importação possui natureza regulatória e arrecadatória e incide sobre a Importação de mercadorias estrangeiras. São contribuintes o importador e o arrematante de produtos apreendidos ou abandonados."
1111010100000000;"Imposto sobre a Importação - Principal";A;"Vide descrição do código de receita principal."
1111010200000000;"Imposto sobre a Importação - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1111010300000000;"Imposto sobre a Importação - Dívida Ativa";A;"Vide descrição do código de receita principal."
1111010400000000;"Imposto sobre a Importação - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1111010500000000;"Imposto sobre a Importação - Multas";A;"Vide descrição do código de receita principal."
1111010600000000;"Imposto sobre a Importação - Juros de Mora";A;"Vide descrição do código de receita principal."
1111010700000000;"Imposto sobre a Importação - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1111010800000000;"Imposto sobre a Importação - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1111020000000000;"Imposto sobre a Exportação";S;""Registra as receitas que se originaram dos impostos sobre a Exportação.De competência da União, incide sobre a Exportação, para o estrangeiro, de produtos nacionais ou nacionalizados.""
1111020100000000;"Imposto sobre a Exportação - Principal";A;"Vide descrição do código de receita principal."
1111020200000000;"Imposto sobre a Exportação - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1111020300000000;"Imposto sobre a Exportação - Dívida Ativa";A;"Vide descrição do código de receita principal."
1111020400000000;"Imposto sobre a Exportação - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1111020500000000;"Imposto sobre a Exportação - Multas";A;"Vide descrição do código de receita principal."
1111020600000000;"Imposto sobre a Exportação - Juros de Mora";A;"Vide descrição do código de receita principal."
1111020700000000;"Imposto sobre a Exportação - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
1111020800000000;"Imposto sobre a Exportação - Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112000000000000;"Impostos sobre o Patrim“nio";S;"Agrega as receitas que se originaram de impostos que incidem sobre o patrim“nio e a renda."
1112010000000000;"Imposto sobre a Propriedade Territorial Rural";S;""Agrega as receitas que se originaram de Impostos sobre a Propriedade Territorial Rural. De competência da União, tem suas alíquotas fixadas de forma a desestimular a manutenção de propriedades improdutivas. São contribuintes o proprietário do imóvel, o titular de seu domínio útil, ou o seu possuidor a qualquer título.""
1112011000000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Conveniados";S;"Registra as receitas que se originaram de Impostos sobre a Propriedade Territorial Rural em Municípios que possuem convˆnio com a União para fiscalização do referido tributo."
1112011100000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Conveniados - Principal";A;"Vide descrição do código de receita principal."
1112011200000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Conveniados - Multas e Juros de Mora";A;"Vide descrição do código de receita principal."
1112011300000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Conveniados - Dívida Ativa";A;"Vide descrição do código de receita principal."
1112011400000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Conveniados - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa";A;"Vide descrição do código de receita principal."
1112011500000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Conveniados - Multas";A;"Vide descrição do código de receita principal."
1112011600000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Conveniados - Juros de Mora";A;"Vide descrição do código de receita principal."
1112011700000000;"Imposto sobre a Propriedade Territorial Rural - Municípios Conveniados - Dívida Ativa - Multas da Dívida Ativa";A;"Vide descrição do código de receita principal."
