codigo,nome,tipo,descricao,exercicio
10000000000000,"Receitas Correntes.",S,"Agrega as receitas tributaria, de contribuicoes, patrimonial, agropecuaria, industrial, de servicos e outras e, ainda, as provenientes de recursos financeiros recebidos de outras pessoas de direito Publico ou privado, quando destinadas a atender despesas classificaveis em despesas correntes.",2025
11000000000000,"Impostos, Taxas e contribuicoes de Melhoria",S,"Agrega as receitas originadas de impostos, taxas e contribuicoes de melhoria.",2025
11100000000000,Impostos,S,"Agrega as receitas que se originaram de impostos. Impostos constituem modalidade de tributo cuja cobranca tem por fato gerador situacao independente de qualquer atividade estatal especifica, relativa ao contribuinte. Regra geral,  vedada a vinculacao da receita de impostos a qualquer tipo de despesa, ressalvada, entre outras hip¢teses, aquelas previstas na Constituicao Federal.",2025
12200400000000,"Contribuicoes para o Desenvolvimento da Ind£stria Cinematogr fica Nacional - CONDECINE",S,""Agrega as receitas oriundas da Contribuicoes incidentes sobre: a veiculacao, a producao, o licenciamento, a distribuicao de obras cinematogr ficas e videofonogr ficas com fins comerciais",2025
12200410000000,"Contribuicoes para o Desenvolvimento da Ind£stria Cinematogr fica Nacional - CONDECINE",A,""Agrega as receitas oriundas da Contribuicoes incidentes sobre: a veiculacao, a producao, o licenciamento, a distribuicao de obras cinematogr ficas e videofonogr ficas com fins comerciais",2025
19101100000000,"Multa por Descumprimento de Obrigacao Previdenciaria Acess¢ria",S,""Agrega as receitas decorrentes da inobservncia ou descumprimento de obrigacoes acess¢rias previstas na legislacao Previdenciaria, tais como multas relacionadas ao atraso no envio de informaäes da Guia de Recolhimento do Fundo de Garantia por Tempo de servico e Informaäes  Previdencia Social - GFIP",2025
19101110000000,"Multa por Descumprimento de Obrigacao Previdenciaria Acess¢ria",A,""Agrega as receitas decorrentes da inobservncia ou descumprimento de obrigacoes acess¢rias previstas na legislacao Previdenciaria, tais como multas relacionadas ao atraso no envio de informaäes da Guia de Recolhimento do Fundo de Garantia por Tempo de servico e Informaäes  Previdencia Social - GFIP",2025
19900400000000,"Contribuicoes ao Montepio Civil",S,""Agrega receitas remanescentes de recursos da Contribuicoes de servidores federais anteriormente habilitados a aderir ao Montepio Civil da Uniao (instituto nao recepcionado pela Constituicao Federal de 1988) para pagamento de pensao a seus dependentes. Eram habilitados para solicitar adesao ao Montepio Civil da Uniao os Ministros do Supremo Tribunal Federal, do Tribunal Federal de Recursos, do Tribunal Superior do Trabalho e do Tribunal de Contas da Uniao",2025
19900410000000,"Contribuicoes ao Montepio Civil",A,""Agrega receitas remanescentes de recursos da Contribuicoes de servidores federais anteriormente habilitados a aderir ao Montepio Civil da Uniao (instituto nao recepcionado pela Constituicao Federal de 1988) para pagamento de pensao a seus dependentes. Eram habilitados para solicitar adesao ao Montepio Civil da Uniao os Ministros do Supremo Tribunal Federal, do Tribunal Federal de Recursos, do Tribunal Superior do Trabalho e do Tribunal de Contas da Uniao",2025
11110000000000,"Impostos sobre o Comercio Exterior",S,"Agrega as receitas que se originaram de impostos cobrados sobre a exportacao e sobre a Importacao.",2025
11110100000000,"Imposto sobre a Importacao",S,"Registra as receitas que se originaram dos impostos sobre a Importacao. De competencia da Uniao, o imposto de Importacao possui natureza regulat¢ria e arrecadat¢ria e incide sobre a Importacao de mercadorias estrangeiras. Sao contribuintes o importador e o arrematante de produtos apreendidos ou abandonados.",2025
11110200000000,"Imposto sobre a Exportacao",S,""Registra as receitas que se originaram dos impostos sobre a exportacao. De competencia da Uniao, incide sobre a exportacao, para o estrangeiro, de produtos nacionais ou nacionalizados."",2025
11120000000000,"Impostos sobre o patrimonio",S,"Agrega as receitas que se originaram de impostos que incidem sobre o patrimonio e a renda.",2025
11120100000000,"Imposto sobre a Propriedade Territorial Rural",S,""Agrega as receitas que se originaram de Impostos sobre a Propriedade Territorial Rural. De competencia da Uniao, tem suas aliquotas fixadas de forma a desestimular a manutencao de propriedades improdutivas. Sao contribuin es o propriet rio do im¢vel, o titular de seu dom¡nio £til, ou o seu possuidor a qualquer t¡tulo."",2025
11120110000000,"Imposto sobre a Propriedade Territorial Rural - Municipios Conveniados",A,"Registra as receitas que se originaram de Impostos sobre a Propriedade Territorial Rural em Municipios que possuem convnio com a Uniao para fiscalizacao do referido tributo.",2025
11120120000000,"Imposto sobre a Propriedade Territorial Rural - Municipios nao-Conveniados",A,"Registra as receitas que se originaram de Impostos sobre a Propriedade Territorial Rural em Municipios que nao possuem convnio com a Uniao para fiscalizacao do referido tributo.",2025
11125000000000,"Imposto sobre a Propriedade Predial e Territorial Urbana",S,"Registra o valor total da arrecadacao de imposto sobre a propriedade predial e territorial urbana, de competencia dos Municipios. Tem como fato gerador a propriedade, o dom¡nio £til ou a posse de bem im¢vel por natureza ou por acessao f¡sica, como definido na lei civil, localizado na zona urbana do munic¡pio.",2025
11125100000000,"Imposto sobre a Propriedade de Veiculos Automotores",S,"Registra o valor total da arrecadacao de imposto que incide sobre o valor do ve¡culo automotor sujeito a licenciamento pelos orgaos competentes. De competencia dos Estados.",2025
11125200000000,"Imposto sobre Transmissao ?Causa Mortis? e Doacao de Bens e Direitos",S,""Registra o valor total da arrecadacao de imposto sobre a transmissao ?causa mortis? e a doacao de: propriedade ou dom¡nio £til de bens im¢veis",2025
11125300000000,""Impostos sobre Transmissao ""Inter Vivos"" de Bens Im¢veis e de Direitos Reais sobre Im¢veis"",S,"Registra o valor total da arrecadacao de imposto sobre transmissao ?inter-vivos? de bens im¢veis e de direitos reais sobre im¢veis de competencia municipal, incide sobre o valor venal dos bens ou direitos transmitidos ou cedidos. Tem o fato gerador no momento da lavradura do instrumento ou ato que servir de t¡tulo as transmissäes ou as cessäes.",2025
11130000000000,"Impostos sobre a Renda e Proventos de Qualquer Natureza",S,"Agrega as receitas originadas de Impostos sobre a Renda e Proventos de Qualquer Natureza.",2025
11130100000000,"Imposto sobre a Renda de Pessoa F¡sica - IRPF",S,"Registra as receitas originadas de rendimentos e ganhos de capital percebidos pelas pessoas fisica residentes ou domiciliadas no Brasil, que nao estejam sujeitas a tributacao exclusiva na fonte.",2025
11130200000000,"Imposto sobre a Renda de Pessoa Jur¡dica - IRPJ - Liquida de Incentivos",S,"Registra as receitas originadas do imposto incidente sobre o lucro das pessoas juridicas de direito privado em geral e das chamadas empresas individuais, nas quais enquadram-se as firmas individuais e as pessoas fisica que exploram, com habitualidade, qualquer atividade economica objetivando o lucro. A base de c lculo do imposto  o lucro real, o lucro presumido ou o lucro arbitrado. Nesta natureza, est  exclu¡da a parcela do imposto de renda pago por pessoas juridicas que fizeram opcao pela aplicacao em projetos considerados priorit rios para o desenvolvimento das regiäes Norte, Nordeste e do Estado do Esp¡rito Santo, conforme Medida Provis¢ria n.§ 2.199-14, de 24 de agosto de 2001.",2025
11130300000000,"Imposto sobre a Renda - Retido na Fonte",S,"Agrega as receitas originadas do imposto sobre a renda retido na fonte, calculado sobre salarios, a qualquer t¡tulo, ou sobre capital.",2025
11130310000000,"Imposto sobre a Renda - Retido na Fonte - Trabalho",A,"Registra as receitas originadas do imposto sobre a renda calculado sobre salarios, a qualquer t¡tulo.",2025
11130320000000,"Imposto sobre a Renda - Retido na Fonte - Capital",A,"Registra as receitas originadas do imposto sobre a renda calculado sobre os juros pagos a t¡tulo de remuneracao do capital pr¢prio, rendimento de aplicaäes financeiras, fundos de investimento cultural e art¡stico, aluguis e royalties pagos a pessoa f¡sica, rendimentos de partes benefici rias ou de fundador, Operacoes de swap e Operacoes de day trade.",2025
11130330000000,"Imposto sobre a Renda - Retido na Fonte - Remessa ao Exterior",A,"Registra as receitas originadas do imposto sobre a renda incidente sobre importacias pagas, creditadas, entregues, empregadas ou remetidas ao exterior por fonte localizada no Brasil referentes a royalties e pagamentos de Assistencia tcnica, juros e concessäes em geral, juros sobre o capital pr¢prio, aluguel e arrendamento, renda e proventos de qualquer natureza, fretes internacionais, Previdencia privada e remuneracao de direitos e obras audiovisuais, e ainda sobre aplicaäes em fundos de conversao de debitos externos e aplicaäes financeiras por entidades de investimento coletivo, nos dois casos com participacao exclusiva de residentes ou domiciliados no exterior.",2025
